a,0.000,0.800,0.400,0.398,1.047,72.839,73.239,-72.439,0.000,1.000
b,0.000,10.400,5.200,5.201,1.292,50.723,55.923,-45.523,0.000,1.000
c,0.000,20.001,10.000,9.999,1.491,42.132,52.133,-32.132,0.000,1.000
d,0.000,29.601,14.801,14.804,1.690,36.275,51.076,-21.475,0.000,1.000
1,0.800,0.800,0.000,0.803,1.076,68.326,68.326,-68.326,0.356,0.000
2,0.800,10.400,4.800,5.600,1.309,49.826,54.626,-45.025,0.581,0.413
3,0.800,20.001,9.600,10.398,1.507,41.567,51.168,-31.967,0.695,0.565
4,0.800,29.601,14.401,15.198,1.707,35.872,50.273,-21.471,0.796,0.687
5,0.800,29.601,14.401,15.198,1.707,35.872,50.273,-21.471,1.347,1.351
6,10.400,10.400,0.000,10.398,1.507,41.567,41.567,-41.567,1.020,0.000
7,10.400,20.001,4.800,15.198,1.707,35.872,40.672,-31.072,1.266,0.215
8,10.400,29.601,9.600,19.999,1.917,31.440,41.040,-21.839,1.492,0.411
9,10.400,29.601,9.600,19.999,1.917,31.440,41.040,-21.839,2.968,1.696
10,20.001,20.001,0.000,19.999,1.917,31.440,31.440,-31.440,1.620,0.000
11,20.001,29.601,4.800,24.800,2.146,27.776,32.576,-22.976,1.965,0.216
12,20.001,29.601,4.800,24.800,2.146,27.776,32.576,-22.976,4.604,1.902
13,29.601,29.601,0.000,29.603,2.400,24.618,24.618,-24.618,2.454,0.000
14,29.601,29.601,0.000,29.603,2.400,24.618,24.618,-24.618,6.806,1.995
